"","cruise","moc_id","date_time","STATION_NUMBER","net_number","depth_m","temp_DegC","sal"
"1","tc-8604","TC8604_002_1","1986-06-24 23:05:34",2,1,108,21.07,35.26192
"2","tc-8604","TC8604_002_1","1986-06-24 23:05:38",2,1,109,21.04,35.30958
"3","tc-8604","TC8604_002_1","1986-06-24 23:05:42",2,1,111,20.97,35.28146
"4","tc-8604","TC8604_002_1","1986-06-24 23:05:50",2,1,117,20.63,35.31261
"5","tc-8604","TC8604_002_1","1986-06-24 23:05:54",2,1,119,20.45,35.22806
"6","tc-8604","TC8604_002_1","1986-06-24 23:06:02",2,1,122,20.18,35.24148
"7","tc-8604","TC8604_002_1","1986-06-24 23:06:10",2,1,127,19.82,35.37726
"8","tc-8604","TC8604_002_1","1986-06-24 23:06:14",2,1,127,19.7,35.15667
"9","tc-8604","TC8604_002_1","1986-06-24 23:06:18",2,1,130,19.65,35.17405
"10","tc-8604","TC8604_002_1","1986-06-24 23:06:22",2,1,131,19.67,35.11776
"11","tc-8604","TC8604_002_1","1986-06-24 23:06:26",2,1,134,19.67,35.17149
"12","tc-8604","TC8604_002_1","1986-06-24 23:06:30",2,1,134,19.55,35.11553
"13","tc-8604","TC8604_002_1","1986-06-24 23:06:34",2,1,137,19.53,35.11558
"14","tc-8604","TC8604_002_1","1986-06-24 23:06:38",2,1,138,19.48,35.11015
"15","tc-8604","TC8604_002_1","1986-06-24 23:06:42",2,1,140,19.36,35.10054
"16","tc-8604","TC8604_002_1","1986-06-24 23:06:46",2,1,141,19.31,35.15014
"17","tc-8604","TC8604_002_1","1986-06-24 23:06:50",2,1,144,19.22,35.09134
"18","tc-8604","TC8604_002_2","1986-06-24 23:14:02",2,2,198,17.08,34.76496
"19","tc-8604","TC8604_002_2","1986-06-24 23:14:10",2,2,196,17.08,34.76571
"20","tc-8604","TC8604_002_2","1986-06-24 23:14:14",2,2,197,17.08,34.77332
"21","tc-8604","TC8604_002_2","1986-06-24 23:14:18",2,2,196,17.08,34.76571
"22","tc-8604","TC8604_002_2","1986-06-24 23:14:22",2,2,195,17.08,34.7661
"23","tc-8604","TC8604_002_2","1986-06-24 23:14:26",2,2,194,17.09,34.77382
"24","tc-8604","TC8604_002_2","1986-06-24 23:14:30",2,2,194,17.09,34.7818
"25","tc-8604","TC8604_002_2","1986-06-24 23:14:34",2,2,194,17.1,34.78117
"26","tc-8604","TC8604_002_2","1986-06-24 23:14:38",2,2,194,17.1,34.7732
"27","tc-8604","TC8604_002_2","1986-06-24 23:14:42",2,2,194,17.1,34.7732
"28","tc-8604","TC8604_002_2","1986-06-24 23:14:46",2,2,194,17.1,34.78117
"29","tc-8604","TC8604_002_2","1986-06-24 23:14:50",2,2,193,17.1,34.78953
"30","tc-8604","TC8604_002_2","1986-06-24 23:14:54",2,2,193,17.1,34.78156
"31","tc-8604","TC8604_002_2","1986-06-24 23:14:58",2,2,193,17.1,34.78156
"32","tc-8604","TC8604_002_2","1986-06-24 23:15:02",2,2,193,17.11,34.78091
"33","tc-8604","TC8604_002_2","1986-06-24 23:15:06",2,2,193,17.11,34.78091
"34","tc-8604","TC8604_002_2","1986-06-24 23:15:10",2,2,194,17.12,34.77194
"35","tc-8604","TC8604_002_2","1986-06-24 23:15:14",2,2,193,17.12,34.78029
"36","tc-8604","TC8604_002_2","1986-06-24 23:15:18",2,2,193,17.12,34.78029
"37","tc-8604","TC8604_002_2","1986-06-24 23:15:22",2,2,193,17.12,34.78029
"38","tc-8604","TC8604_002_2","1986-06-24 23:15:26",2,2,193,17.14,34.77104
"39","tc-8604","TC8604_002_2","1986-06-24 23:15:30",2,2,193,17.13,34.77963
"40","tc-8604","TC8604_002_2","1986-06-24 23:15:34",2,2,193,17.23,34.78129
"41","tc-8604","TC8604_002_2","1986-06-24 23:15:38",2,2,193,17.29,34.79345
"42","tc-8604","TC8604_002_2","1986-06-24 23:15:42",2,2,193,17.3,34.79283
