"","DATASET_CODE","VERSION_CODE","VESSEL_CODE","moc_id","moc_id_noNet","CRUISE_NUMBER","GEAR_CODE","SAMPLE_CODE_1","net_number","SAMPLE_CODE_3","LOCATION_CODE_1","LOCATION_CODE_2","LOCATION_CODE_3","LOCATION_CODE_4","START_TIME","END_TIME","MINIMUM_DEPTH","MAXIMUM_DEPTH","WATER_VOLUME_FILTERED","SAMPLE_VOLUME","TOTAL_NUMBER_SPECIMENS","ROW_NUMBER","SPECIES_CODE","NUMBER_SPECIES","JOB_NUMBER","SEQUENCE_NUMBER","DATE_LOADED","tow_id","station_id","TRAWL_MONTH.y","TRAWL_DAY.y","TRAWL_YEAR.y","LATITUDE_RAW_N","LONGITUDE_RAW_W","TRAWL_NOTES","cruise_id","replicate","LATITUDE_DEGREES","LATITUDE_MINUTES","LATITUDE_SECONDS","LATITUDE_DIRECTION","LONGITUDE_DEGREES","LONGITUDE_MINUTES","LONGITUDE_SECONDS","LONGITUDE_DIRECTION","LATITUDE_DD","LONGITUDE_DD","STATION_NUMBER"
"1","RB008","AA1",1,"TC8504_002_8","TC8504_002",8504,50,1,8,1,1,3,2,1,1702,1713,20,40,610.9,46,315,1,8531260302,25,"D89448",1331,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"2","RB008","AA1",1,"TC8504_002_3","TC8504_002",8504,50,1,3,1,1,3,2,1,1602,1613,120,160,567.3,6,7,1,8.531e+09,1,"D89448",1230,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"3","RB008","AA1",1,"TC8504_002_2","TC8504_002",8504,50,1,2,1,1,3,2,1,1549,1602,160,200,565.6,4,6,1,8531261001,5,"D89448",1228,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"4","RB008","AA1",1,"TC8504_002_6","TC8504_002",8504,50,1,6,1,1,3,2,1,1638,1649,60,80,636,42,80,1,8531260302,4,"D89448",1267,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"5","RB008","AA1",1,"TC8504_002_4","TC8504_002",8504,50,1,4,1,1,3,2,1,1614,1625,100,120,662.5,8,11,1,8531590500,1,"D89448",1237,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"6","RB008","AA1",1,"TC8504_002_0","TC8504_002",8504,30,1,0,1,1,3,2,1,1618,1642,0,1,509.7,10,87,1,8531593003,2,"D89448",1394,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"7","RB008","AA1",1,"TC8504_002_9","TC8504_002",8504,50,1,9,1,1,3,2,1,1713,1725,0,20,650.5,26,404,1,8531260200,15,"D89448",1365,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"8","RB008","AA1",1,"TC8504_002_7","TC8504_002",8504,50,1,7,1,1,3,2,1,1650,1701,40,60,646.3,44,274,1,8.522e+09,1,"D89448",1297,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"9","RB008","AA1",1,"TC8504_002_5","TC8504_002",8504,50,1,5,1,1,3,2,1,1626,1637,80,100,622.1,32,59,1,8531260302,2,"D89448",1245,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"10","RB008","AA1",1,"TC8504_002_7","TC8504_002",8504,50,1,7,1,1,3,2,1,1650,1701,40,60,646.3,44,274,2,8531260302,26,"D89448",1298,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"11","RB008","AA1",1,"TC8504_002_4","TC8504_002",8504,50,1,4,1,1,3,2,1,1614,1625,100,120,662.5,8,11,2,8531593003,2,"D89448",1238,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"12","RB008","AA1",1,"TC8504_002_3","TC8504_002",8504,50,1,3,1,1,3,2,1,1602,1613,120,160,567.3,6,7,2,8531260102,1,"D89448",1231,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"13","RB008","AA1",1,"TC8504_002_2","TC8504_002",8504,50,1,2,1,1,3,2,1,1549,1602,160,200,565.6,4,6,2,8547020100,1,"D89448",1229,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"14","RB008","AA1",1,"TC8504_002_6","TC8504_002",8504,50,1,6,1,1,3,2,1,1638,1649,60,80,636,42,80,2,8531260300,1,"D89448",1268,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
"15","RB008","AA1",1,"TC8504_002_5","TC8504_002",8504,50,1,5,1,1,3,2,1,1626,1637,80,100,622.1,32,59,2,8531590500,10,"D89448",1246,"4/8/2016","TC_8504_W5D1_1","W5D1",9,6,1985,"21°32.3'","157°45.0'","","TC_8504",1,21,32,3,"N",157,45,0,"W",21.5341666666667,-157.75,2
